Type,Theme,File,Name,Color,Legend,Labels,Unit,Visible,Provenance,Order,Description,Notes
theme,Species at Risk,R1km_T_SAR_AmericanBadgerjacksonisubspecies.tif,American Badger jacksoni subspecies,#fb8072,manual,"absence, presence",km2,FALSE,national,15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_AwemeBorer.tif,Aweme Borer,#fb8072,manual,"absence, presence",km2,FALSE,national,17,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_BankSwallow.tif,Bank Swallow,#fb8072,manual,"absence, presence",km2,FALSE,national,18,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_BarnSwallow.tif,Barn Swallow,#fb8072,manual,"absence, presence",km2,FALSE,national,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_BlandingsTurtle.tif,Blandings Turtle,#fb8072,manual,"absence, presence",km2,FALSE,national,19,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_Bobolink.tif,Bobolink,#fb8072,manual,"absence, presence",km2,FALSE,national,20,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_ButlersGartersnake.tif,Butlers Gartersnake,#fb8072,manual,"absence, presence",km2,FALSE,national,21,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_Butternut.tif,Butternut,#fb8072,manual,"absence, presence",km2,FALSE,national,22,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_CanadaWarbler.tif,Canada Warbler,#fb8072,manual,"absence, presence",km2,FALSE,national,23,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_CeruleanWarbler.tif,Cerulean Warbler,#fb8072,manual,"absence, presence",km2,FALSE,national,24,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_ChimneySwift.tif,Chimney Swift,#fb8072,manual,"absence, presence",km2,FALSE,national,25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_CommonNighthawk.tif,Common Nighthawk,#fb8072,manual,"absence, presence",km2,FALSE,national,26,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
theme,Species at Risk,R1km_T_SAR_DwarfLakeIris.tif,Dwarf Lake Iris,#fb8072,manual,"absence, presence",km2,FALSE,national,27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ECCC
